id;actual request;result
0;Auth Bypass;" MALICIOUS
"
1;Auth Bypass;" MALICIOUS
"
2;Auth Bypass;" MALICIOUS
"
3;Auth Bypass;" MALICIOUS
"
4;Auth Bypass;" MALICIOUS
"
5;Auth Bypass;" MALICIOUS
"
6;Auth Bypass;" MALICIOUS
"
7;Auth Bypass;" MALICIOUS
"
8;Auth Bypass;" NOT_MALICOUS
"
9;Auth Bypass;" MALICIOUS
"
10;Auth Bypass;" NOT_MALICOUS
"
11;Auth Bypass;" MALICIOUS
"
12;Auth Bypass;" MALICIOUS
"
13;Auth Bypass;" MALICIOUS
"
14;Auth Bypass;" NOT_MALICOUS
"
15;Auth Bypass;" MALICIOUS
"
16;Auth Bypass;" MALICIOUS
"
17;Auth Bypass;" MALICIOUS
"
18;Auth Bypass;" NOT_MALICOUS
"
19;Auth Bypass;" MALICIOUS
"
20;Auth Bypass;" NOT_MALICOUS
"
21;Auth Bypass;" NOT_MALICOUS
"
22;Auth Bypass;" NOT_MALICOUS
"
23;Auth Bypass;" MALICIOUS
"
24;Auth Bypass;" MALICIOUS
"
25;Auth Bypass;" NOT_MALICOUS
"
26;Auth Bypass;" NOT_MALICOUS
"
27;Auth Bypass;" NOT_MALICOUS
"
28;Auth Bypass;" MALICIOUS
"
29;Auth Bypass;" NOT_MALICOUS
"
30;Auth Bypass;" NOT_MALICOUS
"
31;Auth Bypass;" NOT_MALICOUS
"
32;Auth Bypass;" MALICIOUS
"
33;Auth Bypass;" MALICIOUS
"
34;Auth Bypass;" MALICIOUS
"
35;Auth Bypass;" MALICIOUS
"
36;Auth Bypass;" NOT_MALICOUS
"
37;Auth Bypass;" NOT_MALICOUS
"
38;Auth Bypass;" NOT_MALICOUS
"
39;Auth Bypass;" MALICIOUS
"
40;Auth Bypass;" NOT_MALICOUS
"
41;Auth Bypass;" NOT_MALICOUS
"
42;Auth Bypass;" NOT_MALICOUS
"
43;Auth Bypass;" NOT_MALICOUS
"
44;Auth Bypass;" NOT_MALICOUS
"
45;Auth Bypass;" MALICIOUS
"
46;Auth Bypass;" MALICIOUS
"
47;Auth Bypass;" MALICIOUS
"
48;Auth Bypass;" MALICIOUS
"
49;Auth Bypass;" MALICIOUS
"
50;Auth Bypass;" MALICIOUS
"
51;Auth Bypass;" MALICIOUS
"
52;Auth Bypass;" MALICIOUS
"
53;Auth Bypass;" MALICIOUS
"
54;Auth Bypass;" MALICIOUS
"
55;Auth Bypass;" MALICIOUS
"
56;Auth Bypass;" MALICIOUS
"
57;Auth Bypass;" MALICIOUS
"
58;Auth Bypass;" MALICIOUS
"
59;Auth Bypass;" MALICIOUS
"
60;Auth Bypass;" MALICIOUS
"
61;Auth Bypass;" MALICIOUS
"
62;Auth Bypass;" MALICIOUS
"
63;Auth Bypass;" MALICIOUS
"
64;Auth Bypass;" MALICIOUS
"
65;Auth Bypass;" MALICIOUS
"
66;Auth Bypass;" MALICIOUS
"
67;Auth Bypass;" MALICIOUS
"
68;Auth Bypass;" MALICIOUS
"
69;Auth Bypass;" NOT_MALICOUS
"
70;Auth Bypass;" NOT_MALICOUS
"
71;Auth Bypass;" NOT_MALICOUS
"
72;Auth Bypass;" NOT_MALICOUS
"
73;Auth Bypass;" NOT_MALICOUS
"
74;Auth Bypass;" NOT_MALICOUS
"
75;Auth Bypass;" NOT_MALICOUS
"
76;Auth Bypass;" NOT_MALICOUS
"
77;Auth Bypass;" NOT_MALICOUS
"
78;Auth Bypass;" NOT_MALICOUS
"
79;Auth Bypass;" NOT_MALICOUS
"
80;Auth Bypass;" NOT_MALICOUS
"
81;Auth Bypass;" NOT_MALICOUS
"
82;Auth Bypass;" NOT_MALICOUS
"
83;Auth Bypass;" NOT_MALICOUS
"
84;Auth Bypass;" NOT_MALICOUS
"
85;Auth Bypass;" NOT_MALICOUS
"
86;Auth Bypass;" MALICIOUS
"
87;Auth Bypass;" MALICIOUS
"
88;Auth Bypass;" MALICIOUS
"
89;Auth Bypass;" MALICIOUS
"
90;Auth Bypass;" MALICIOUS
"
91;Auth Bypass;" MALICIOUS
"
92;Auth Bypass;" MALICIOUS
"
93;Auth Bypass;" MALICIOUS
"
94;Auth Bypass;" MALICIOUS
"
95;Auth Bypass;" MALICIOUS
"
96;Auth Bypass;" MALICIOUS
"
97;Auth Bypass;" MALICIOUS
"
98;Auth Bypass;" MALICIOUS
"
99;Auth Bypass;" MALICIOUS
"
100;Auth Bypass;" MALICIOUS
"
101;Auth Bypass;" MALICIOUS
"
102;Auth Bypass;" MALICIOUS
"
103;Auth Bypass;" MALICIOUS
"
104;Auth Bypass;" MALICIOUS
"
105;Auth Bypass;" MALICIOUS
"
106;Auth Bypass;" MALICIOUS
"
107;Auth Bypass;" MALICIOUS
"
108;Auth Bypass;" MALICIOUS
"
109;Auth Bypass;" MALICIOUS
"
110;Auth Bypass;" MALICIOUS
"
111;Auth Bypass;" MALICIOUS
"
112;Auth Bypass;" MALICIOUS
"
113;Auth Bypass;" MALICIOUS
"
114;Auth Bypass;" MALICIOUS
"
115;Auth Bypass;" MALICIOUS
"
116;Auth Bypass;" NOT_MALICOUS
"
117;Auth Bypass;" MALICIOUS
"
118;Auth Bypass;" MALICIOUS
"
119;Auth Bypass;" MALICIOUS
"
120;Auth Bypass;" MALICIOUS
"
121;Command Execution;" MALICIOUS
"
122;Command Execution;" MALICIOUS
"
123;Command Execution;" MALICIOUS
"
124;Command Execution;" MALICIOUS
"
125;Command Execution;" MALICIOUS
"
126;Command Execution;" MALICIOUS
"
127;Command Execution;" MALICIOUS
"
128;Command Execution;" MALICIOUS
"
129;Command Execution;" MALICIOUS
"
130;Command Execution;" MALICIOUS
"
131;Command Execution;" MALICIOUS
"
132;Command Execution;" MALICIOUS
"
133;Command Execution;" MALICIOUS
"
134;Command Execution;" MALICIOUS
"
135;Command Execution;" MALICIOUS
"
136;Command Execution;" MALICIOUS
"
137;Command Execution;" MALICIOUS
"
138;Command Execution;" MALICIOUS
"
139;Command Execution;" MALICIOUS
"
140;Command Execution;" MALICIOUS
"
141;Command Execution;" MALICIOUS
"
142;Command Execution;" MALICIOUS
"
143;Command Execution;" MALICIOUS
"
144;Command Execution;" MALICIOUS
"
145;Command Execution;" MALICIOUS
"
146;Command Execution;" MALICIOUS
"
147;Command Execution;" MALICIOUS
"
148;Command Execution;" MALICIOUS
"
149;Command Execution;" MALICIOUS
"
150;Command Execution;" MALICIOUS
"
151;Command Execution;" MALICIOUS
"
152;Command Execution;" MALICIOUS
"
153;Command Execution;" MALICIOUS
"
154;Command Execution;" MALICIOUS
"
155;Command Execution;" MALICIOUS
"
156;Command Execution;" MALICIOUS
"
157;Command Execution;" MALICIOUS
"
158;Command Execution;" MALICIOUS
"
159;Command Execution;" MALICIOUS
"
160;Command Execution;" MALICIOUS
"
161;Command Execution;" MALICIOUS
"
162;Command Execution;" MALICIOUS
"
163;Command Execution;" MALICIOUS
"
164;Command Execution;" MALICIOUS
"
165;Command Execution;" MALICIOUS
"
166;Command Execution;" MALICIOUS
"
167;Command Execution;" MALICIOUS
"
168;Command Execution;" MALICIOUS
"
169;Command Execution;" MALICIOUS
"
170;Command Execution;" MALICIOUS
"
171;Command Execution;" MALICIOUS
"
172;Command Execution;" MALICIOUS
"
173;Command Execution;" MALICIOUS
"
174;Command Execution;" MALICIOUS
"
175;Command Execution;" MALICIOUS
"
176;Command Execution;" MALICIOUS
"
177;Command Execution;" MALICIOUS
"
178;Command Execution;" MALICIOUS
"
179;Command Execution;" MALICIOUS
"
180;Command Execution;" MALICIOUS
"
181;Command Execution;" MALICIOUS
"
182;Command Execution;" MALICIOUS
"
183;Command Execution;" MALICIOUS
"
184;Command Execution;" MALICIOUS
"
185;Command Execution;" MALICIOUS
"
186;Command Execution;" MALICIOUS
"
187;Command Execution;" MALICIOUS
"
188;Command Execution;" MALICIOUS
"
189;Command Execution;" MALICIOUS
"
190;Command Execution;" MALICIOUS
"
191;Command Execution;" MALICIOUS
"
192;Command Execution;" MALICIOUS
"
193;Command Execution;" MALICIOUS
"
194;Command Execution;" MALICIOUS
"
195;Command Execution;" MALICIOUS
"
196;Command Execution;" MALICIOUS
"
197;Command Execution;" MALICIOUS
"
198;Command Execution;" MALICIOUS
"
199;Command Execution;" MALICIOUS
"
200;Command Execution;" MALICIOUS
"
201;Command Execution;" MALICIOUS
"
202;Command Execution;" MALICIOUS
"
203;Command Execution;" MALICIOUS
"
204;Command Execution;" MALICIOUS
"
205;Command Execution;" MALICIOUS
"
206;Command Execution;" MALICIOUS
"
207;Command Execution;" MALICIOUS
"
208;Command Execution;" MALICIOUS
"
209;Command Execution;" MALICIOUS
"
210;Command Execution;" MALICIOUS
"
211;Command Execution;" MALICIOUS
"
212;Command Execution;" MALICIOUS
"
213;Command Execution;" MALICIOUS
"
214;Command Execution;" MALICIOUS
"
215;Command Execution;" MALICIOUS
"
216;Command Execution;" MALICIOUS
"
217;Command Execution;" MALICIOUS
"
218;Command Execution;" MALICIOUS
"
219;Command Execution;" MALICIOUS
"
220;Command Execution;" MALICIOUS
"
221;Command Execution;" MALICIOUS
"
222;Command Execution;" MALICIOUS
"
223;Command Execution;" MALICIOUS
"
224;Command Execution;" MALICIOUS
"
225;Command Execution;" MALICIOUS
"
226;Command Execution;" MALICIOUS
"
227;Command Execution;" MALICIOUS
"
228;Command Execution;" MALICIOUS
"
229;Command Execution;" NOT_MALICOUS
"
230;Command Execution;" MALICIOUS
"
231;Command Execution;" MALICIOUS
"
232;Command Execution;" MALICIOUS
"
233;Command Execution;" MALICIOUS
"
234;Command Execution;" MALICIOUS
"
235;Command Execution;" MALICIOUS
"
236;Command Execution;" MALICIOUS
"
237;Command Execution;" NOT_MALICOUS
"
238;Command Execution;" MALICIOUS
"
239;Command Execution;" MALICIOUS
"
240;Command Execution;" MALICIOUS
"
241;Command Execution;" MALICIOUS
"
242;Command Execution;" MALICIOUS
"
243;Command Execution;" MALICIOUS
"
244;Command Execution;" MALICIOUS
"
245;Command Execution;" MALICIOUS
"
246;Command Execution;" MALICIOUS
"
247;Command Execution;" MALICIOUS
"
248;Command Execution;" MALICIOUS
"
249;Command Execution;" MALICIOUS
"
250;Command Execution;" MALICIOUS
"
251;Command Execution;" MALICIOUS
"
252;Command Execution;" MALICIOUS
"
253;Command Execution;" MALICIOUS
"
254;Command Execution;" MALICIOUS
"
255;Command Execution;" MALICIOUS
"
256;Command Execution;" MALICIOUS
"
257;Command Execution;" MALICIOUS
"
258;Command Execution;" MALICIOUS
"
259;Command Execution;" MALICIOUS
"
260;Command Execution;" MALICIOUS
"
261;Command Execution;" MALICIOUS
"
262;Command Execution;" MALICIOUS
"
263;Command Execution;" MALICIOUS
"
264;Command Execution;" MALICIOUS
"
265;Command Execution;" MALICIOUS
"
266;Command Execution;" MALICIOUS
"
267;Command Execution;" MALICIOUS
"
268;Command Execution;" MALICIOUS
"
269;Command Execution;" MALICIOUS
"
270;Command Execution;" MALICIOUS
"
271;Command Execution;" MALICIOUS
"
272;Command Execution;" MALICIOUS
"
273;Command Execution;" MALICIOUS
"
274;Command Execution;" MALICIOUS
"
275;Command Execution;" MALICIOUS
"
276;Command Execution;" MALICIOUS
"
277;Command Execution;" MALICIOUS
"
278;Command Execution;" MALICIOUS
"
279;Command Execution;" MALICIOUS
"
