id;actual request;result
0;Auth Bypass;Valid request
1;Auth Bypass;Valid request
2;Auth Bypass;Valid request
3;Auth Bypass;Valid request
4;Auth Bypass;Valid request
5;Auth Bypass;Valid request
6;Auth Bypass;Valid request
7;Auth Bypass;Valid request
8;Auth Bypass;Valid request
9;Auth Bypass;Valid request
10;Auth Bypass;Valid request
11;Auth Bypass;Valid request
12;Auth Bypass;SQL-Injection detected
13;Auth Bypass;SQL-Injection detected
14;Auth Bypass;SQL-Injection detected
15;Auth Bypass;SQL-Injection detected
16;Auth Bypass;SQL-Injection detected
17;Auth Bypass;SQL-Injection detected
18;Auth Bypass;SQL-Injection detected
19;Auth Bypass;SQL-Injection detected
20;Auth Bypass;SQL-Injection detected
21;Auth Bypass;SQL-Injection detected
22;Auth Bypass;SQL-Injection detected
23;Auth Bypass;SQL-Injection detected
24;Auth Bypass;SQL-Injection detected
25;Auth Bypass;SQL-Injection detected
26;Auth Bypass;SQL-Injection detected
27;Auth Bypass;SQL-Injection detected
28;Auth Bypass;Valid request
29;Auth Bypass;SQL-Injection detected
30;Auth Bypass;SQL-Injection detected
31;Auth Bypass;SQL-Injection detected
32;Auth Bypass;SQL-Injection detected
33;Auth Bypass;SQL-Injection detected
34;Auth Bypass;SQL-Injection detected
35;Auth Bypass;SQL-Injection detected
36;Auth Bypass;SQL-Injection detected
37;Auth Bypass;SQL-Injection detected
38;Auth Bypass;SQL-Injection detected
39;Auth Bypass;SQL-Injection detected
40;Auth Bypass;SQL-Injection detected
41;Auth Bypass;SQL-Injection detected
42;Auth Bypass;SQL-Injection detected
43;Auth Bypass;SQL-Injection detected
44;Auth Bypass;SQL-Injection detected
45;Auth Bypass;SQL-Injection detected
46;Auth Bypass;SQL-Injection detected
47;Auth Bypass;SQL-Injection detected
48;Auth Bypass;SQL-Injection detected
49;Auth Bypass;SQL-Injection detected
50;Auth Bypass;SQL-Injection detected
51;Auth Bypass;SQL-Injection detected
52;Auth Bypass;SQL-Injection detected
53;Auth Bypass;SQL-Injection detected
54;Auth Bypass;SQL-Injection detected
55;Auth Bypass;SQL-Injection detected
56;Auth Bypass;SQL-Injection detected
57;Auth Bypass;SQL-Injection detected
58;Auth Bypass;SQL-Injection detected
59;Auth Bypass;SQL-Injection detected
60;Auth Bypass;SQL-Injection detected
61;Auth Bypass;SQL-Injection detected
62;Auth Bypass;SQL-Injection detected
63;Auth Bypass;SQL-Injection detected
64;Auth Bypass;SQL-Injection detected
65;Auth Bypass;SQL-Injection detected
66;Auth Bypass;SQL-Injection detected
67;Auth Bypass;SQL-Injection detected
68;Auth Bypass;SQL-Injection detected
69;Auth Bypass;SQL-Injection detected
70;Auth Bypass;SQL-Injection detected
71;Auth Bypass;SQL-Injection detected
72;Auth Bypass;SQL-Injection detected
73;Auth Bypass;SQL-Injection detected
74;Auth Bypass;SQL-Injection detected
75;Auth Bypass;SQL-Injection detected
76;Auth Bypass;SQL-Injection detected
77;Auth Bypass;SQL-Injection detected
78;Auth Bypass;SQL-Injection detected
79;Auth Bypass;SQL-Injection detected
80;Auth Bypass;SQL-Injection detected
81;Auth Bypass;SQL-Injection detected
82;Auth Bypass;SQL-Injection detected
83;Auth Bypass;SQL-Injection detected
84;Auth Bypass;SQL-Injection detected
85;Auth Bypass;SQL-Injection detected
86;Auth Bypass;SQL-Injection detected
87;Auth Bypass;SQL-Injection detected
88;Auth Bypass;SQL-Injection detected
89;Auth Bypass;SQL-Injection detected
90;Auth Bypass;SQL-Injection detected
91;Auth Bypass;SQL-Injection detected
92;Auth Bypass;SQL-Injection detected
93;Auth Bypass;SQL-Injection detected
94;Auth Bypass;SQL-Injection detected
95;Auth Bypass;SQL-Injection detected
96;Auth Bypass;SQL-Injection detected
97;Auth Bypass;SQL-Injection detected
98;Auth Bypass;SQL-Injection detected
99;Auth Bypass;SQL-Injection detected
100;Auth Bypass;SQL-Injection detected
101;Auth Bypass;SQL-Injection detected
102;Auth Bypass;SQL-Injection detected
103;Auth Bypass;SQL-Injection detected
104;Auth Bypass;SQL-Injection detected
105;Auth Bypass;SQL-Injection detected
106;Auth Bypass;SQL-Injection detected
107;Auth Bypass;SQL-Injection detected
108;Auth Bypass;SQL-Injection detected
109;Auth Bypass;SQL-Injection detected
110;Auth Bypass;SQL-Injection detected
111;Auth Bypass;SQL-Injection detected
112;Auth Bypass;SQL-Injection detected
113;Auth Bypass;SQL-Injection detected
114;Auth Bypass;SQL-Injection detected
115;Auth Bypass;SQL-Injection detected
116;Auth Bypass;SQL-Injection detected
117;Auth Bypass;SQL-Injection detected
118;Auth Bypass;SQL-Injection detected
119;Auth Bypass;SQL-Injection detected
120;Auth Bypass;SQL-Injection detected
121;Command Execution;Command Injection Detected
122;Command Execution;Command Injection Detected
123;Command Execution;Command Injection Detected
124;Command Execution;Command Injection Detected
125;Command Execution;Valid request
126;Command Execution;Valid request
127;Command Execution;Valid request
128;Command Execution;Valid request
129;Command Execution;Valid request
130;Command Execution;Valid request
131;Command Execution;Valid request
132;Command Execution;Valid request
133;Command Execution;Command Injection Detected
134;Command Execution;Valid request
135;Command Execution;Valid request
136;Command Execution;Valid request
137;Command Execution;Command Injection Detected
138;Command Execution;Valid request
139;Command Execution;Valid request
140;Command Execution;Command Injection Detected
141;Command Execution;Command Injection Detected
142;Command Execution;Command Injection Detected
143;Command Execution;Command Injection Detected
144;Command Execution;Command Injection Detected
145;Command Execution;SQL-Injection detected
146;Command Execution;SQL-Injection detected
147;Command Execution;SQL-Injection detected
148;Command Execution;Command Injection Detected
149;Command Execution;Command Injection Detected
150;Command Execution;Command Injection Detected
151;Command Execution;Command Injection Detected
152;Command Execution;Command Injection Detected
153;Command Execution;Command Injection Detected
154;Command Execution;Command Injection Detected
155;Command Execution;Command Injection Detected
156;Command Execution;Command Injection Detected
157;Command Execution;Command Injection Detected
158;Command Execution;Command Injection Detected
159;Command Execution;Command Injection Detected
160;Command Execution;Command Injection Detected
161;Command Execution;Command Injection Detected
162;Command Execution;Command Injection Detected
163;Command Execution;Command Injection Detected
164;Command Execution;Command Injection Detected
165;Command Execution;Command Injection Detected
166;Command Execution;Command Injection Detected
167;Command Execution;Command Injection Detected
168;Command Execution;Command Injection Detected
169;Command Execution;Command Injection Detected
170;Command Execution;Command Injection Detected
171;Command Execution;Command Injection Detected
172;Command Execution;Command Injection Detected
173;Command Execution;Command Injection Detected
174;Command Execution;Valid request
175;Command Execution;Command Injection Detected
176;Command Execution;Valid request
177;Command Execution;Command Injection Detected
178;Command Execution;Command Injection Detected
179;Command Execution;Command Injection Detected
180;Command Execution;Command Injection Detected
181;Command Execution;Command Injection Detected
182;Command Execution;Command Injection Detected
183;Command Execution;Command Injection Detected
184;Command Execution;Command Injection Detected
185;Command Execution;Valid request
186;Command Execution;Valid request
187;Command Execution;Valid request
188;Command Execution;Command Injection Detected
189;Command Execution;Command Injection Detected
190;Command Execution;Valid request
191;Command Execution;Valid request
192;Command Execution;Command Injection Detected
193;Command Execution;SQL-Injection detected
194;Command Execution;SQL-Injection detected
195;Command Execution;Valid request
196;Command Execution;Valid request
197;Command Execution;SQL-Injection detected
198;Command Execution;Command Injection Detected
199;Command Execution;Command Injection Detected
200;Command Execution;Valid request
201;Command Execution;Valid request
202;Command Execution;Command Injection Detected
203;Command Execution;Command Injection Detected
204;Command Execution;Command Injection Detected
205;Command Execution;SQL-Injection detected
206;Command Execution;SQL-Injection detected
207;Command Execution;Valid request
208;Command Execution;Valid request
209;Command Execution;SQL-Injection detected
210;Command Execution;SQL-Injection detected
211;Command Execution;SQL-Injection detected
212;Command Execution;Valid request
213;Command Execution;Valid request
214;Command Execution;SQL-Injection detected
215;Command Execution;SQL-Injection detected
216;Command Execution;SQL-Injection detected
217;Command Execution;Valid request
218;Command Execution;Valid request
219;Command Execution;SQL-Injection detected
220;Command Execution;Command Injection Detected
221;Command Execution;Command Injection Detected
222;Command Execution;Command Injection Detected
223;Command Execution;SQL-Injection detected
224;Command Execution;SQL-Injection detected
225;Command Execution;SQL-Injection detected
226;Command Execution;SQL-Injection detected
227;Command Execution;SQL-Injection detected
228;Command Execution;Command Injection Detected
229;Command Execution;SQL-Injection detected
230;Command Execution;SQL-Injection detected
231;Command Execution;SQL-Injection detected
